,Dates,Weights
0,2023-08-15,175
1,2023-08-17,175
2,2023-08-18,174
3,2023-08-20,173
4,2023-08-21,175
5,2023-08-22,175
6,2023-08-25,176
7,2023-08-26,174
8,2023-08-28,177
9,2023-08-30,177
10,2023-08-31,177
11,2023-09-01,179
12,2023-09-03,177
13,2023-09-10,180
14,2023-09-11,179
15,2023-09-12,181
16,2023-09-15,181
17,2023-09-16,180
18,2023-09-20,181
19,2023-09-27,181
20,2023-10-03,181
21,2023-11-16,176
22,2024-01-07,181
23,2024-01-18,182
24,2024-01-31,186
25,2024-02-01,185
26,2024-02-15,188
27,2024-02-29,190
28,2024-03-04,186
29,2024-03-05,185
30,2024-03-07,185
31,2024-03-10,185
32,2024-03-12,185
33,2024-03-13,184
34,2024-03-14,184
35,2024-03-15,184
36,2024-03-16,184
37,2024-03-19,183
38,2024-03-21,183
39,2024-03-22,182
40,2024-03-30,180
41,2024-04-01,180
42,2024-04-02,179
43,2024-04-04,179
44,2024-04-06,181
45,2024-04-07,179
46,2024-04-08,179
47,2024-04-09,179
48,2024-04-10,179
49,2024-04-11,178
50,2024-04-12,179
51,2024-04-14,178
52,2024-04-16,177
53,2024-04-18,177
54,2024-04-20,176
55,2024-04-22,176
56,2024-04-23,176
57,2024-04-25,176
58,2024-04-26,175
59,2024-04-27,175
60,2024-04-28,176
61,2024-04-29,176
62,2024-04-30,175
63,2024-05-01,175
64,2024-05-03,174
65,2024-05-04,172
66,2024-05-05,172
67,2024-05-06,171
68,2024-05-07,171
69,2024-05-08,174
70,2024-05-09,174
71,2024-05-10,172
72,2024-05-13,173
73,2024-05-14,174
74,2024-05-15,173
75,2024-05-16,172
76,2024-05-17,173
77,2024-05-20,175
78,2024-05-24,171
79,2024-05-26,170
80,2024-05-28,172
81,2024-06-08,168
82,2024-06-12,169
83,2024-06-20,171
84,2024-06-22,170
85,2024-06-28,172
86,2024-07-21,172
87,2024-09-13,178
